epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,333.974,2.41697,9.76761,2.9018,0.6194,0.73678,0.78601,0.58073,1.96282,3.5565,2.73822,0.00333167,0.00333167,0.00333167
2,661.109,2.34035,4.94509,2.69768,0.77664,0.81906,0.88341,0.64869,2.01252,1.75136,2.76769,0.00659902,0.00659902,0.00659902
3,986.101,2.45473,3.04925,2.7452,0.7938,0.87674,0.92002,0.6408,2.08319,1.51789,2.87396,0.00980037,0.00980037,0.00980037
4,1310.46,2.48212,2.38802,2.75579,0.86631,0.91648,0.96061,0.69987,1.99158,1.07327,2.76145,0.009703,0.009703,0.009703
5,1634.73,2.31655,1.79365,2.63485,0.94101,0.93653,0.97891,0.73939,1.84134,0.87367,2.62748,0.009604,0.009604,0.009604
6,1959,2.19867,1.55973,2.56199,0.94296,0.96187,0.97968,0.75268,1.79082,0.78366,2.54779,0.009505,0.009505,0.009505
7,2283.1,2.11248,1.4021,2.50247,0.96432,0.95758,0.98473,0.77012,1.70046,0.71759,2.48653,0.009406,0.009406,0.009406
8,2607.27,2.06344,1.31451,2.48738,0.95838,0.96345,0.9818,0.77194,1.68729,0.6927,2.4876,0.009307,0.009307,0.009307
9,2931.37,2.01152,1.24817,2.44765,0.96609,0.97642,0.9886,0.78431,1.64436,0.64512,2.42346,0.009208,0.009208,0.009208
10,3255.47,1.96941,1.19239,2.42407,0.9582,0.97289,0.98765,0.79205,1.5929,0.63056,2.40196,0.009109,0.009109,0.009109
11,3579.6,1.92827,1.13498,2.40535,0.97016,0.98035,0.9878,0.79804,1.58019,0.59832,2.38769,0.00901,0.00901,0.00901
12,3903.87,1.91291,1.11555,2.39355,0.97699,0.98021,0.9903,0.8001,1.55195,0.57888,2.36241,0.008911,0.008911,0.008911
13,4228.1,1.88671,1.08329,2.36757,0.96973,0.98683,0.99109,0.80713,1.50918,0.57342,2.32755,0.008812,0.008812,0.008812
14,4552.34,1.8536,1.05208,2.35241,0.98266,0.98389,0.99186,0.8138,1.49055,0.54869,2.31137,0.008713,0.008713,0.008713
15,4876.41,1.82716,1.0371,2.33648,0.96807,0.98377,0.98951,0.81051,1.49282,0.56367,2.31414,0.008614,0.008614,0.008614
16,5200.45,1.81108,1.00875,2.32893,0.97833,0.98371,0.99099,0.81679,1.48368,0.53639,2.30665,0.008515,0.008515,0.008515
17,5524.72,1.77753,0.98075,2.30995,0.97807,0.9868,0.99209,0.82145,1.46377,0.52091,2.28636,0.008416,0.008416,0.008416
18,5848.97,1.77196,0.9704,2.31336,0.98379,0.98728,0.99249,0.82276,1.44249,0.52202,2.2704,0.008317,0.008317,0.008317
19,6173.11,1.75653,0.95202,2.30203,0.97671,0.98365,0.99141,0.82555,1.42808,0.52155,2.24936,0.008218,0.008218,0.008218
